text,label
"My symptom is a moderate cut that won't stop bleeding, I'm worried it needs attention today",urgent_care
I'm dealing with a sprained ankle that's swelling quickly and wanted advice.,urgent_care
I'm dealing with a mild headache and wanted advice. resting seems to help,self_care
I have a severe migraine unlike any I've had before.,urgent_care
"mild muscle soreness after exercise, it's mild and manageable",self_care
I have coughing up blood. I can barely breathe,emergency
I have sharp abdominal pain that started a few hours ago. the pain is pretty severe,urgent_care
For the past little while I've had a fever of 102F that started this morning. it's not improving with rest,urgent_care
"My symptom is a severe migraine unlike any I've had before, I'm worried it needs attention today",urgent_care
For the past little while I've had sharp abdominal pain that started a few hours ago. it's getting worse quickly,urgent_care
For the past little while I've had a moderate cut that won't stop bleeding. it's not improving with rest,urgent_care
"mild seasonal allergies, it comes and goes",self_care
I have an itchy mosquito bite. it comes and goes,self_care
I've been experiencing a seizure that has lasted over five minutes. it's not stopping,emergency
I'm dealing with crushing chest pain radiating to my left arm and wanted advice. it's not stopping,emergency
For the past little while I've had a runny nose. it's pretty minor,self_care
"My symptom is intermittent mild lower back pain, I've had it for a couple of weeks now",routine_care
"a slightly upset stomach after eating,",self_care
I have crushing chest pain radiating to my left arm. this feels life-threatening,emergency
For the past little while I've had a small paper cut on my finger. it's mild and manageable,self_care
For the past little while I've had occasional mild heartburn after meals. I've had it for a couple of weeks now,routine_care
"My symptom is a deep cut that might need stitches, I'm worried it needs attention today",urgent_care
For the past little while I've had a runny nose. it doesn't stop me from my normal routine,self_care
I've been experiencing a small bruise on my leg. it's pretty minor,self_care
"sudden difficulty breathing and gasping for air,",emergency
For the past little while I've had a moderate cut that won't stop bleeding. it started suddenly a few hours ago,urgent_care
For the past little while I've had a dry cough. it's been going on for a day,self_care
"My symptom is mild seasonal allergies, it's pretty minor",self_care
I've been experiencing sudden confusion and inability to recognize where I am. this feels life-threatening,emergency
"My symptom is a seizure that has lasted over five minutes,",emergency
"My symptom is sudden difficulty breathing and gasping for air, I can barely breathe",emergency
"My symptom is sudden onset of intense back pain, the pain is pretty severe",urgent_care
"My symptom is a wart that hasn't gone away, it's not urgent but I want a doctor's opinion",routine_care
"My symptom is a dry cough, it comes and goes",self_care
"My symptom is a mild headache, it's been going on for a day",self_care
For the past little while I've had a moderate cut that won't stop bleeding. it's getting worse quickly,urgent_care
"My symptom is a bit of nasal congestion, over-the-counter medicine seems to help",self_care
I've been experiencing a deep cut that might need stitches. it's getting worse quickly,urgent_care
"a bit of nasal congestion, over-the-counter medicine seems to help",self_care
"My symptom is a small bruise on my leg, it's mild and manageable",self_care
I'm dealing with sudden difficulty breathing and gasping for air and wanted advice. it's not stopping,emergency
For the past little while I've had sudden onset of intense back pain.,urgent_care
For the past little while I've had an itchy mosquito bite. resting seems to help,self_care
"recurring mild migraines a few times a month, I've had it for a couple of weeks now",routine_care
"My symptom is occasional hiccups, it's pretty minor",self_care
"My symptom is a slightly upset stomach after eating, it's mild and manageable",self_care
I have sudden severe ear pain. the pain is pretty severe,urgent_care
I have a stuffy nose. it's pretty minor,self_care
I have a rash that hasn't gone away after several days. nothing I do seems to fully fix it,routine_care
"a runny nose, it's pretty minor",self_care
I'm dealing with irregular but not severe menstrual cramps and wanted advice. it's manageable but I'd like it checked out,routine_care
"a fever of 102F that started this morning, it started suddenly a few hours ago",urgent_care
"a stuffy nose, resting seems to help",self_care
"mild seasonal allergies, resting seems to help",self_care
I have severe chest tightness and shortness of breath at rest. I need help right now,emergency
I've been experiencing a wart that hasn't gone away. nothing I do seems to fully fix it,routine_care
For the past little while I've had a small paper cut on my finger.,self_care
I've been experiencing mild seasonal allergies. it doesn't stop me from my normal routine,self_care
For the past little while I've had sudden severe ear pain. I'm worried it needs attention today,urgent_care
"I've been experiencing dry, chapped lips.",self_care
"My symptom is a bit of nasal congestion, it's mild and manageable",self_care
For the past little while I've had a fever of 102F that started this morning. the pain is pretty severe,urgent_care
"a bit of nasal congestion, it comes and goes",self_care
I'm dealing with recurring mild migraines a few times a month and wanted advice. it's manageable but I'd like it checked out,routine_care
For the past little while I've had occasional hiccups. over-the-counter medicine seems to help,self_care
I have a stuffy nose. it comes and goes,self_care
I have a moderate cut that won't stop bleeding. it's getting worse quickly,urgent_care
I have a runny nose. it's mild and manageable,self_care
I have severe uncontrolled bleeding from a deep wound. it started suddenly and is severe,emergency
"My symptom is an allergic reaction with hives spreading, I'm worried it needs attention today",urgent_care
"My symptom is irregular but not severe menstrual cramps, it's not urgent but I want a doctor's opinion",routine_care
"My symptom is intermittent mild lower back pain, it's not getting worse but it's not going away either",routine_care
"I've been experiencing dry, chapped lips. it doesn't stop me from my normal routine",self_care
"sudden onset of intense back pain, the pain is pretty severe",urgent_care
"mild muscle soreness after exercise, it's pretty minor",self_care
"My symptom is mild joint pain that's been around for a couple weeks, I've had it for a couple of weeks now",routine_care
I'm dealing with occasional hiccups and wanted advice. it comes and goes,self_care
I've been experiencing occasional mild heartburn after meals. nothing I do seems to fully fix it,routine_care
"a small lump I noticed that isn't painful, it's manageable but I'd like it checked out",routine_care
I have vomiting several times in the last few hours. it's getting worse quickly,urgent_care
"My symptom is a severe migraine unlike any I've had before, the pain is pretty severe",urgent_care
"My symptom is mild seasonal allergies, it comes and goes",self_care
"My symptom is coughing up blood, I can barely breathe",emergency
I have mild joint pain that's been around for a couple weeks. nothing I do seems to fully fix it,routine_care
I have occasional mild heartburn after meals.,routine_care
"My symptom is difficulty keeping food down for the past day, I'm worried it needs attention today",urgent_care
"a sprained ankle that's swelling quickly, it's not improving with rest",urgent_care
I've been experiencing occasional mild heartburn after meals. it's not urgent but I want a doctor's opinion,routine_care
"one side of my face suddenly drooping and slurred speech,",emergency
I have a slight sore throat.,self_care
"irregular but not severe menstrual cramps,",routine_care
"My symptom is sudden confusion and inability to recognize where I am, I can barely breathe",emergency
I've been experiencing a bit of nasal congestion. resting seems to help,self_care
For the past little while I've had crushing chest pain radiating to my left arm. I need help right now,emergency
For the past little while I've had difficulty keeping food down for the past day. the pain is pretty severe,urgent_care
"sudden severe ear pain, it's getting worse quickly",urgent_care
"My symptom is mild seasonal allergies,",self_care
I've been experiencing one side of my face suddenly drooping and slurred speech. I need help right now,emergency
For the past little while I've had sudden difficulty breathing and gasping for air. it's not stopping,emergency
I'm dealing with a bit of nasal congestion and wanted advice. it's been going on for a day,self_care
I've been experiencing a runny nose. it comes and goes,self_care
I've been experiencing mild muscle soreness after exercise. it's been going on for a day,self_care
I have a severe migraine unlike any I've had before. it's not improving with rest,urgent_care
For the past little while I've had an itchy mosquito bite. it's mild and manageable,self_care
For the past little while I've had mild seasonal allergies. it comes and goes,self_care
I have mild muscle soreness after exercise.,self_care
"a bit of nasal congestion, it's pretty minor",self_care
I've been experiencing mild joint pain that's been around for a couple weeks. it's not urgent but I want a doctor's opinion,routine_care
I'm dealing with a deep cut that might need stitches and wanted advice. I'm worried it needs attention today,urgent_care
"My symptom is an itchy mosquito bite, it doesn't stop me from my normal routine",self_care
"For the past little while I've had dry, chapped lips. it's been going on for a day",self_care
"My symptom is a stuffy nose, it comes and goes",self_care
For the past little while I've had trouble sleeping for the last two weeks. nothing I do seems to fully fix it,routine_care
I'm dealing with a rash that hasn't gone away after several days and wanted advice. it's not urgent but I want a doctor's opinion,routine_care
For the past little while I've had a dry cough.,self_care
I have a fever with chills that's gotten worse today. it started suddenly a few hours ago,urgent_care
"My symptom is an itchy mosquito bite, over-the-counter medicine seems to help",self_care
I have a head injury with vomiting and extreme drowsiness. it's not stopping,emergency
I've been experiencing a wart that hasn't gone away. it's not urgent but I want a doctor's opinion,routine_care
I have a sprained ankle that's swelling quickly.,urgent_care
"severe uncontrolled bleeding from a deep wound, this feels life-threatening",emergency
I'm dealing with a deep cut that might need stitches and wanted advice. it's getting worse quickly,urgent_care
"My symptom is a slightly upset stomach after eating,",self_care
"signs of a stroke, numbness on one side of the body, it started suddenly and is severe",emergency
I have a bit of nasal congestion. it's pretty minor,self_care
I'm dealing with mild fatigue after a long day and wanted advice. it doesn't stop me from my normal routine,self_care
For the past little while I've had sudden severe ear pain. the pain is pretty severe,urgent_care
"a mild headache, it's pretty minor",self_care
I've been experiencing a runny nose. it's been going on for a day,self_care
"sharp abdominal pain that started a few hours ago, it's getting worse quickly",urgent_care
"My symptom is a rash that hasn't gone away after several days, nothing I do seems to fully fix it",routine_care
"a persistent cough that has lasted over a week, it's not urgent but I want a doctor's opinion",routine_care
For the past little while I've had crushing chest pain radiating to my left arm. I can barely breathe,emergency
I'm dealing with a slight sore throat and wanted advice. over-the-counter medicine seems to help,self_care
"difficulty keeping food down for the past day, it's not improving with rest",urgent_care
I'm dealing with an itchy mosquito bite and wanted advice. it doesn't stop me from my normal routine,self_care
"I've been experiencing signs of a stroke, numbness on one side of the body. I need help right now",emergency
"My symptom is intermittent mild lower back pain, it's not urgent but I want a doctor's opinion",routine_care
I've been experiencing a bit of nasal congestion. over-the-counter medicine seems to help,self_care
I've been experiencing a persistent cough that has lasted over a week. it's manageable but I'd like it checked out,routine_care
For the past little while I've had a slightly upset stomach after eating. it's mild and manageable,self_care
I've been experiencing a dry cough. it comes and goes,self_care
For the past little while I've had a bit of nasal congestion. it comes and goes,self_care
"My symptom is occasional hiccups, resting seems to help",self_care
"a mild headache,",self_care
I'm dealing with trouble sleeping for the last two weeks and wanted advice. I've had it for a couple of weeks now,routine_care
I've been experiencing intermittent mild lower back pain. nothing I do seems to fully fix it,routine_care
I have a rash that hasn't gone away after several days. it's manageable but I'd like it checked out,routine_care
"My symptom is a slight sore throat, resting seems to help",self_care
"a rash that hasn't gone away after several days, nothing I do seems to fully fix it",routine_care
I have loss of consciousness for several seconds. this feels life-threatening,emergency
I have recurring mild migraines a few times a month. nothing I do seems to fully fix it,routine_care
I've been experiencing a head injury with vomiting and extreme drowsiness. I need help right now,emergency
I have sudden onset of intense back pain. I'm worried it needs attention today,urgent_care
"I've been experiencing signs of a stroke, numbness on one side of the body. it's not stopping",emergency
I have severe uncontrolled bleeding from a deep wound. I can barely breathe,emergency
"mild joint pain that's been around for a couple weeks, it's manageable but I'd like it checked out",routine_care
I've been experiencing a slight sore throat. resting seems to help,self_care
"sudden difficulty breathing and gasping for air, it started suddenly and is severe",emergency
I've been experiencing a moderate cut that won't stop bleeding. it started suddenly a few hours ago,urgent_care
I have mild muscle soreness after exercise. it doesn't stop me from my normal routine,self_care
I have a stuffy nose. over-the-counter medicine seems to help,self_care
I'm dealing with vomiting several times in the last few hours and wanted advice. it's getting worse quickly,urgent_care
I've been experiencing loss of consciousness for several seconds. I can barely breathe,emergency
I've been experiencing sudden difficulty breathing and gasping for air. this feels life-threatening,emergency
I'm dealing with sudden severe ear pain and wanted advice. the pain is pretty severe,urgent_care
"a small paper cut on my finger, over-the-counter medicine seems to help",self_care
I have irregular but not severe menstrual cramps.,routine_care
"My symptom is irregular but not severe menstrual cramps,",routine_care
I have occasional mild heartburn after meals. I've had it for a couple of weeks now,routine_care
I have trouble sleeping for the last two weeks. I've had it for a couple of weeks now,routine_care
For the past little while I've had sharp abdominal pain that started a few hours ago. the pain is pretty severe,urgent_care
I have a small lump I noticed that isn't painful.,routine_care
"severe uncontrolled bleeding from a deep wound, I need help right now",emergency
"My symptom is mild ear discomfort that comes and goes,",routine_care
I'm dealing with a dry cough and wanted advice. resting seems to help,self_care
I have mild ear discomfort that comes and goes.,routine_care
I've been experiencing difficulty keeping food down for the past day. it started suddenly a few hours ago,urgent_care
I'm dealing with sudden difficulty breathing and gasping for air and wanted advice. it started suddenly and is severe,emergency
I'm dealing with sudden difficulty breathing and gasping for air and wanted advice. I can barely breathe,emergency
"mild seasonal allergies, it's been going on for a day",self_care
"a fever with chills that's gotten worse today,",urgent_care
"mild joint pain that's been around for a couple weeks,",routine_care
For the past little while I've had a stuffy nose. it's been going on for a day,self_care
"My symptom is irregular but not severe menstrual cramps, it's manageable but I'd like it checked out",routine_care
"I have signs of a stroke, numbness on one side of the body. this feels life-threatening",emergency
"My symptom is a seizure that has lasted over five minutes, this feels life-threatening",emergency
I've been experiencing occasional hiccups. it comes and goes,self_care
"My symptom is a moderate cut that won't stop bleeding, it's getting worse quickly",urgent_care
For the past little while I've had a slightly upset stomach after eating. it comes and goes,self_care
"a runny nose, resting seems to help",self_care
"My symptom is mild fatigue after a long day, over-the-counter medicine seems to help",self_care
"a runny nose, it doesn't stop me from my normal routine",self_care
"sharp abdominal pain that started a few hours ago,",urgent_care
For the past little while I've had a runny nose. it's mild and manageable,self_care
"My symptom is occasional mild heartburn after meals, it's not urgent but I want a doctor's opinion",routine_care
"My symptom is a dry cough, it's been going on for a day",self_care
I have severe chest tightness and shortness of breath at rest. I can barely breathe,emergency
For the past little while I've had a runny nose. over-the-counter medicine seems to help,self_care
I have a small paper cut on my finger.,self_care
For the past little while I've had sudden confusion and inability to recognize where I am. this feels life-threatening,emergency
"dry, chapped lips, over-the-counter medicine seems to help",self_care
For the past little while I've had mild joint pain that's been around for a couple weeks. it's not getting worse but it's not going away either,routine_care
I've been experiencing occasional hiccups. over-the-counter medicine seems to help,self_care
I'm dealing with a slightly upset stomach after eating and wanted advice. over-the-counter medicine seems to help,self_care
"a runny nose, it's been going on for a day",self_care
For the past little while I've had a slightly upset stomach after eating. resting seems to help,self_care
"My symptom is recurring mild migraines a few times a month, nothing I do seems to fully fix it",routine_care
"a rash that hasn't gone away after several days, it's not getting worse but it's not going away either",routine_care
"My symptom is a head injury with vomiting and extreme drowsiness, it started suddenly and is severe",emergency
I have a slight sore throat. over-the-counter medicine seems to help,self_care
I've been experiencing a slight sore throat. it's mild and manageable,self_care
For the past little while I've had occasional hiccups. it doesn't stop me from my normal routine,self_care
For the past little while I've had sudden difficulty breathing and gasping for air. it started suddenly and is severe,emergency
For the past little while I've had a head injury with vomiting and extreme drowsiness. it's not stopping,emergency
I'm dealing with sharp abdominal pain that started a few hours ago and wanted advice.,urgent_care
For the past little while I've had recurring mild migraines a few times a month. nothing I do seems to fully fix it,routine_care
"My symptom is crushing chest pain radiating to my left arm, it started suddenly and is severe",emergency
For the past little while I've had a bit of nasal congestion.,self_care
"vomiting several times in the last few hours, it's getting worse quickly",urgent_care
I've been experiencing a mild headache. it's been going on for a day,self_care
"My symptom is severe chest tightness and shortness of breath at rest, this feels life-threatening",emergency
For the past little while I've had mild muscle soreness after exercise. resting seems to help,self_care
I have occasional hiccups. it doesn't stop me from my normal routine,self_care
"a moderate cut that won't stop bleeding, the pain is pretty severe",urgent_care
I've been experiencing severe uncontrolled bleeding from a deep wound. I can barely breathe,emergency
"My symptom is one side of my face suddenly drooping and slurred speech, it started suddenly and is severe",emergency
"sharp abdominal pain that started a few hours ago, it's not improving with rest",urgent_care
"My symptom is coughing up blood,",emergency
"severe chest tightness and shortness of breath at rest, it started suddenly and is severe",emergency
For the past little while I've had a slight sore throat. it's been going on for a day,self_care
For the past little while I've had a stuffy nose. it doesn't stop me from my normal routine,self_care
"a head injury with vomiting and extreme drowsiness, I need help right now",emergency
I've been experiencing mild ear discomfort that comes and goes. nothing I do seems to fully fix it,routine_care
"My symptom is crushing chest pain radiating to my left arm, this feels life-threatening",emergency
I have a persistent cough that has lasted over a week. I've had it for a couple of weeks now,routine_care
For the past little while I've had a fever with chills that's gotten worse today. it started suddenly a few hours ago,urgent_care
"My symptom is severe uncontrolled bleeding from a deep wound, it's not stopping",emergency
I'm dealing with vomiting several times in the last few hours and wanted advice. it's not improving with rest,urgent_care
"a mild headache, it doesn't stop me from my normal routine",self_care
For the past little while I've had vomiting several times in the last few hours. it started suddenly a few hours ago,urgent_care
"My symptom is crushing chest pain radiating to my left arm, it's not stopping",emergency
I'm dealing with irregular but not severe menstrual cramps and wanted advice. I've had it for a couple of weeks now,routine_care
I've been experiencing a seizure that has lasted over five minutes. I can barely breathe,emergency
For the past little while I've had a bit of nasal congestion. resting seems to help,self_care
For the past little while I've had difficulty keeping food down for the past day. I'm worried it needs attention today,urgent_care
"My symptom is loss of consciousness for several seconds, I need help right now",emergency
I'm dealing with coughing up blood and wanted advice. I can barely breathe,emergency
For the past little while I've had mild fatigue after a long day. it's mild and manageable,self_care
I'm dealing with occasional mild heartburn after meals and wanted advice. it's manageable but I'd like it checked out,routine_care
For the past little while I've had a seizure that has lasted over five minutes. it started suddenly and is severe,emergency
I've been experiencing a severe allergic reaction with throat swelling and trouble breathing. it's not stopping,emergency
I have a mild headache. it comes and goes,self_care
I'm dealing with recurring mild migraines a few times a month and wanted advice. nothing I do seems to fully fix it,routine_care
I've been experiencing a sprained ankle that's swelling quickly. the pain is pretty severe,urgent_care
I'm dealing with a fever of 102F that started this morning and wanted advice. it started suddenly a few hours ago,urgent_care
"My symptom is a slightly upset stomach after eating, it's been going on for a day",self_care
I've been experiencing a small bruise on my leg. it's been going on for a day,self_care
For the past little while I've had crushing chest pain radiating to my left arm.,emergency
For the past little while I've had recurring mild migraines a few times a month. it's manageable but I'd like it checked out,routine_care
I have a slight sore throat. resting seems to help,self_care
I'm dealing with a slight sore throat and wanted advice. resting seems to help,self_care
I've been experiencing a head injury with vomiting and extreme drowsiness. it's not stopping,emergency
I have low-grade fatigue for the past two weeks. I've had it for a couple of weeks now,routine_care
"My symptom is sudden confusion and inability to recognize where I am, this feels life-threatening",emergency
I've been experiencing a persistent cough that has lasted over a week. it's not getting worse but it's not going away either,routine_care
"I have signs of a stroke, numbness on one side of the body.",emergency
I'm dealing with a fever with chills that's gotten worse today and wanted advice.,urgent_care
"loss of consciousness for several seconds, it's not stopping",emergency
I'm dealing with loss of consciousness for several seconds and wanted advice. it's not stopping,emergency
I have a seizure that has lasted over five minutes. it started suddenly and is severe,emergency
"a deep cut that might need stitches, I'm worried it needs attention today",urgent_care
For the past little while I've had a runny nose. resting seems to help,self_care
"a fever with chills that's gotten worse today, it started suddenly a few hours ago",urgent_care
For the past little while I've had a small lump I noticed that isn't painful. it's not urgent but I want a doctor's opinion,routine_care
I'm dealing with mild muscle soreness after exercise and wanted advice. it comes and goes,self_care
I have occasional hiccups. resting seems to help,self_care
I have mild ear discomfort that comes and goes. I've had it for a couple of weeks now,routine_care
"severe chest tightness and shortness of breath at rest, I need help right now",emergency
I've been experiencing a severe migraine unlike any I've had before. it's not improving with rest,urgent_care
"My symptom is a small lump I noticed that isn't painful, it's not getting worse but it's not going away either",routine_care
I have an allergic reaction with hives spreading.,urgent_care
For the past little while I've had severe chest tightness and shortness of breath at rest. I can barely breathe,emergency
"occasional mild heartburn after meals, nothing I do seems to fully fix it",routine_care
For the past little while I've had a slight sore throat.,self_care
I've been experiencing a mild headache. it's mild and manageable,self_care
I have mild fatigue after a long day. it doesn't stop me from my normal routine,self_care
"a rash that hasn't gone away after several days, it's manageable but I'd like it checked out",routine_care
I have a fever with chills that's gotten worse today. the pain is pretty severe,urgent_care
I've been experiencing sudden difficulty breathing and gasping for air. it's not stopping,emergency
"a bit of nasal congestion, it's been going on for a day",self_care
"For the past little while I've had signs of a stroke, numbness on one side of the body. this feels life-threatening",emergency
"a slight sore throat, it doesn't stop me from my normal routine",self_care
I'm dealing with mild seasonal allergies and wanted advice. it doesn't stop me from my normal routine,self_care
For the past little while I've had a fever of 102F that started this morning.,urgent_care
I have sudden difficulty breathing and gasping for air.,emergency
I'm dealing with a small paper cut on my finger and wanted advice. resting seems to help,self_care
"My symptom is a rash that hasn't gone away after several days, it's not urgent but I want a doctor's opinion",routine_care
For the past little while I've had mild muscle soreness after exercise.,self_care
"I have dry, chapped lips. it doesn't stop me from my normal routine",self_care
I'm dealing with mild muscle soreness after exercise and wanted advice. resting seems to help,self_care
For the past little while I've had low-grade fatigue for the past two weeks. it's not getting worse but it's not going away either,routine_care
For the past little while I've had coughing up blood. it started suddenly and is severe,emergency
I've been experiencing a wart that hasn't gone away. it's not getting worse but it's not going away either,routine_care
For the past little while I've had a severe allergic reaction with throat swelling and trouble breathing.,emergency
For the past little while I've had an itchy mosquito bite. it's been going on for a day,self_care
I have a mild headache. it's mild and manageable,self_care
"My symptom is mild fatigue after a long day, it comes and goes",self_care
For the past little while I've had sudden confusion and inability to recognize where I am. it's not stopping,emergency
I have a sprained ankle that's swelling quickly. the pain is pretty severe,urgent_care
"My symptom is a small bruise on my leg, it's pretty minor",self_care
For the past little while I've had a moderate cut that won't stop bleeding.,urgent_care
I have a bit of nasal congestion. over-the-counter medicine seems to help,self_care
"signs of a stroke, numbness on one side of the body, this feels life-threatening",emergency
I have occasional hiccups. over-the-counter medicine seems to help,self_care
"My symptom is a severe allergic reaction with throat swelling and trouble breathing, it's not stopping",emergency
I have a fever with chills that's gotten worse today.,urgent_care
For the past little while I've had a severe allergic reaction with throat swelling and trouble breathing. it's not stopping,emergency
I'm dealing with sharp abdominal pain that started a few hours ago and wanted advice. it's not improving with rest,urgent_care
I've been experiencing sharp abdominal pain that started a few hours ago. it's getting worse quickly,urgent_care
For the past little while I've had severe uncontrolled bleeding from a deep wound.,emergency
"an itchy mosquito bite, it comes and goes",self_care
"My symptom is a rash that hasn't gone away after several days, it's not getting worse but it's not going away either",routine_care
"I have signs of a stroke, numbness on one side of the body. I can barely breathe",emergency
I've been experiencing a slightly upset stomach after eating. it comes and goes,self_care
I have a bit of nasal congestion. it doesn't stop me from my normal routine,self_care
"occasional hiccups, it's been going on for a day",self_care
"My symptom is a slight sore throat, it comes and goes",self_care
"intermittent mild lower back pain, it's manageable but I'd like it checked out",routine_care
I'm dealing with a fever of 102F that started this morning and wanted advice. it's not improving with rest,urgent_care
I have a slightly upset stomach after eating.,self_care
I've been experiencing recurring mild migraines a few times a month. I've had it for a couple of weeks now,routine_care
I've been experiencing a bit of nasal congestion. it comes and goes,self_care
"coughing up blood, this feels life-threatening",emergency
I've been experiencing sudden severe ear pain. I'm worried it needs attention today,urgent_care
I have intermittent mild lower back pain. it's not getting worse but it's not going away either,routine_care
"For the past little while I've had dry, chapped lips.",self_care
I've been experiencing a stuffy nose. it's been going on for a day,self_care
"I have dry, chapped lips. it's pretty minor",self_care
I've been experiencing a dry cough. over-the-counter medicine seems to help,self_care
I'm dealing with sudden confusion and inability to recognize where I am and wanted advice. I can barely breathe,emergency
I've been experiencing recurring mild migraines a few times a month.,routine_care
I have a mild headache. it doesn't stop me from my normal routine,self_care
For the past little while I've had trouble sleeping for the last two weeks. I've had it for a couple of weeks now,routine_care
I'm dealing with an itchy mosquito bite and wanted advice. it comes and goes,self_care
For the past little while I've had a slight sore throat. over-the-counter medicine seems to help,self_care
I have a dry cough. it doesn't stop me from my normal routine,self_care
I have difficulty keeping food down for the past day. the pain is pretty severe,urgent_care
I'm dealing with a mild headache and wanted advice. over-the-counter medicine seems to help,self_care
I have a deep cut that might need stitches. the pain is pretty severe,urgent_care
For the past little while I've had a bit of nasal congestion. it's mild and manageable,self_care
"My symptom is sudden confusion and inability to recognize where I am, it's not stopping",emergency
"My symptom is a runny nose, it's mild and manageable",self_care
I've been experiencing a wart that hasn't gone away. it's manageable but I'd like it checked out,routine_care
For the past little while I've had vomiting several times in the last few hours. it's getting worse quickly,urgent_care
I've been experiencing irregular but not severe menstrual cramps. I've had it for a couple of weeks now,routine_care
For the past little while I've had a small paper cut on my finger. it comes and goes,self_care
I have a slight sore throat. it's pretty minor,self_care
For the past little while I've had a seizure that has lasted over five minutes. I need help right now,emergency
I've been experiencing a mild headache. over-the-counter medicine seems to help,self_care
I have mild ear discomfort that comes and goes. it's manageable but I'd like it checked out,routine_care
"My symptom is a slight sore throat, it's been going on for a day",self_care
I've been experiencing intermittent mild lower back pain.,routine_care
I'm dealing with mild muscle soreness after exercise and wanted advice.,self_care
For the past little while I've had severe chest tightness and shortness of breath at rest.,emergency
"My symptom is a small paper cut on my finger, resting seems to help",self_care
I've been experiencing vomiting several times in the last few hours. it's not improving with rest,urgent_care
For the past little while I've had a fever with chills that's gotten worse today. it's not improving with rest,urgent_care
"My symptom is a mild headache,",self_care
"My symptom is a stuffy nose, resting seems to help",self_care
"sudden onset of intense back pain, it's not improving with rest",urgent_care
I'm dealing with intermittent mild lower back pain and wanted advice. it's not getting worse but it's not going away either,routine_care
I have occasional mild heartburn after meals. it's not urgent but I want a doctor's opinion,routine_care
"My symptom is sharp abdominal pain that started a few hours ago, it's getting worse quickly",urgent_care
"My symptom is a fever with chills that's gotten worse today, the pain is pretty severe",urgent_care
For the past little while I've had a mild headache. it's mild and manageable,self_care
"vomiting several times in the last few hours, it's not improving with rest",urgent_care
For the past little while I've had irregular but not severe menstrual cramps.,routine_care
For the past little while I've had irregular but not severe menstrual cramps. I've had it for a couple of weeks now,routine_care
I'm dealing with severe chest tightness and shortness of breath at rest and wanted advice. I need help right now,emergency
"My symptom is an itchy mosquito bite, it's been going on for a day",self_care
For the past little while I've had one side of my face suddenly drooping and slurred speech.,emergency
"My symptom is an allergic reaction with hives spreading,",urgent_care
"My symptom is a small paper cut on my finger, over-the-counter medicine seems to help",self_care
I've been experiencing crushing chest pain radiating to my left arm. it started suddenly and is severe,emergency
I'm dealing with mild seasonal allergies and wanted advice. it's pretty minor,self_care
"My symptom is mild fatigue after a long day, it's mild and manageable",self_care
